work_id,conference_label,conference_short_title,conference_theme_title,conference_year,conference_organizers,conference_series,conference_hosting_institutions,conference_city,conference_state,conference_country,conference_url,work_title,work_url,work_authors,work_type,parent_work_id,keywords,languages,topics,cld3,cld2,cld3vscld2,human,cld3ev,cld2ev
9359,2020 - Ottawa,Ottawa,carrefours / intersections,2020,ADHO,ADHO,Carleton University;Université d'Ottawa (University of Ottawa),Ottawa,Ontario,Canada,https://dh2020.adho.org/,"Archival Justice in the DH Classroom: Examining El Diario de la Gente and the Chicanx Movement in Boulder, Colorado",NA,Nickoal Eichmann-Kalwara,"paper, specified ""short paper""",NA,Chicanx Movement;Pedagogy,NA,NA,es,en,different,en/es,,
6436,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Prospectiva de la arquitectura en el siglo XXI. La arquitectura en entornos digitales,NA,Luis David Cardona Jiménez,poster / demo / art installation,NA,arquitectura;big data;diseño;prospectiva;realidad virtual,NA,NA,es,en,different,es,1,0
6543,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Humanidades Digitales en Cuba: Avances y Perspectivas,NA,Maytee García Vázquez;Sulema Rodriguez Roche;Ania Hernández Quintana,"paper, specified ""short paper""",NA,academia;cuba;disicplina;humanidades digitales;tecnología,NA,NA,es,en,different,es,1,0
3762,2016 - Kraków,Kraków,Digital Identities: the Past and the Future,2016,ADHO,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,NA,Poland,https://dh2016.adho.org/,SAMEBibl: Sistema Automático de Migración a Europeana para Bibliotecas,NA,M Luisa Diez-Platas;Paloma Centenera-Centenera,"paper, specified ""short paper""",NA,biblioteca;europeana;migraciã³n;modelo relacional;software,NA,NA,gl,es,different,es,0,1
450,2005 - Victoria,Victoria,NA,2005,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Victoria,Victoria,British Columbia,Canada,http://web.archive.org/web/20071215042001/http://web.uvic.ca/hrd/achallc2005/,La Docencia de la Creación Digital Emergente: La Literatura Electrónica,NA,Joan-Elies Adell,paper,NA,NA,NA,NA,es,gl,different,es,1,0
6374,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Herramienta Web Para La Identificación De La Técnica De Manufactura En Fotografías Históricas,NA,Gustavo Lozano San Juan,poster / demo / art installation,NA,fotografía;metodología de identificación;proceso fotográfico;técnica de manufactura,NA,NA,es,gl,different,es,1,0
6394,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,devochdelia: el Diccionario Etimolójico de las Voces Chilenas Derivadas de Lenguas Indíjenas Americanas de Rodolfo Lenz en versión digital,NA,Francisco Mondaca,poster / demo / art installation,NA,crowdsourcing;digitalización;etimología;lexicografía;webapp,NA,NA,es,gl,different,es,1,0
6422,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,La geopólitica de las humanidades digitales: un caso de estudio de DH2017 Montreal,NA,José Pino-Díaz;Domenico Fiormonte,poster / demo / art installation,NA,análisis de las relaciones de asociación;colaboración científica;geopolítica de las humanidades digitales;geopolítica del conocimiento,NA,NA,es,gl,different,es,1,0
6456,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Si Las Humanidades Digitales Fueran Un Círculo Estaríamos Hablando De La Circunferencia Digital,NA,Tália Méndez Mahecha;Javier Beltrán;Stephanie Sarmiento;Duván Barrera;Sara del mar Castiblanco;María Helena Vargas;Natalia Restrepo;Camilo Martinez;Juan Camilo Chavez,panel / roundtable,NA,conservación digital;diseño emocional;edición digital;estrategia digital;experiencia de usuario;herramientas web;narrativas digitales,NA,NA,es,gl,different,es,1,0
6473,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Perspectivas Digitales y a Gran Escala en el Estudio de Revistas Culturales de los Espacios Hispánico y Lusófono,NA,Ventsislav Ikoff;Laura Fólica;Diana Roig Sanz;Hanno Ehrlicher;Teresa Herzgsell;Claudia Cedeño;Rocío Ortuño;Joana Malta;Pedro Lisboa,panel / roundtable,NA,hispanic and lusophone;network research;online repository;periodical publications;research environments,NA,NA,es,gl,different,es,1,0
6477,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Pensar Filosóficamente las Humanidades Digitales,NA,Marat Ocampo Gutiérrez de Velasco;Francisco Barrón Tovar;Ana María Guzmán Olmos;Sandra Reyes Álvarez;Elena León Magaña;Ethel Rueda Hernández,panel / roundtable,NA,filosofía;máquinas;representación;tecnología,NA,NA,es,gl,different,es,1,0
6576,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Métodos digitales para el estudio de la fotografía compartida. Una aproximación distante a tres ciudades iberoamericanas en Instagram.,NA,Gabriela Elisa Sued,"paper, specified ""short paper""",NA,digital culture;digital methods;shared photography;social media.,NA,NA,es,gl,different,es,1,0
9655,2020 - Ottawa,Ottawa,carrefours / intersections,2020,ADHO,ADHO,Carleton University;Université d'Ottawa (University of Ottawa),Ottawa,Ontario,Canada,https://dh2020.adho.org/,Evolución y escenario actual de las Humanidades Digitales en España,NA,Maurizio Toscano;Aroa Rabadán;Salvador Ros;Elena González-Blanco,"paper, specified ""short paper""",NA,Digital Humanities;digital infrastructures;Spain,NA,NA,es,gl,different,es,1,0
,,,,,,,,,,,,,,,,,,,,,,,,11,3
