work_id,conference_label,conference_short_title,conference_theme_title,conference_year,conference_organizers,conference_series,conference_hosting_institutions,conference_city,conference_state,conference_country,conference_url,work_title,work_url,work_authors,work_type,parent_work_id,keywords,languages,topics,cld3,cld2,cld3vscld2
20,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Word Order in Latin Prose Applied to a Case of Authorship Attribution: Book IV of the Stratagemata by Sextus Iulius Frontinus (1st century AD). The Contribution of Quantitative Methods via Computerized Text Analysis,NA,Empar Espinilla Buisan;Montserrat Nofre Maiz,paper,NA,NA,NA,NA,en,en,same
21,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Back to the Cave of Shadows: Stylistic Fingerprints in Authorship Attribution,NA,R. Harald Baayen;Fiona J. Tweedie;Anneke Neijt;Hans van Halteren;Loes Krebbers,paper,NA,NA,NA,NA,en,en,same
22,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,The Digital Performance Archive,NA,Rachael Beach,poster / demo / art installation,NA,NA,NA,NA,en,en,same
23,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,An Assistant Tool for Verse-making in Basque-based on Two-Level Morphology,NA,Bertol Arrieta;Xabier Arregi;Iñaki Alegria,poster / demo / art installation,NA,NA,NA,NA,en,en,same
24,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,The Second Version of the ICAME CD-ROM,NA,Knut Hofland,poster / demo / art installation,NA,NA,NA,NA,en,en,same
25,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Working with Alignment of Text and Sound in Spoken Corpora,NA,Knut Hofland,poster / demo / art installation,NA,NA,NA,NA,en,en,same
26,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Text Structure vs. Encoded Structure - Dealing with Mixed Genres and Ambiguous Texts,NA,Karl Johan Sæth;Ingrid Falkenberg;Ellen Margrete Nessheim;Stine Brenna Taugbøl;Mette Gismeroy Ekker,paper,NA,NA,NA,NA,en,en,same
27,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Perdita's Progress: Raising Standards in a TEI-based Approach to Cataloguing Early Modern Manuscripts,NA,Jill Seal;Claire Warwick;Elizabeth Clarke,paper,NA,NA,NA,NA,en,en,same
28,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Image Description at the William Blake Archive,NA,Kari Kraus,paper,NA,NA,NA,NA,NA,en,NA
29,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Kirrkirr: Software for Browsing and Visual Exploration of a Structured Warlpiri Dictionary,NA,Christopher D. Manning,paper,NA,NA,NA,NA,en,en,same
30,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,New Paths in Middle High German Lexicography: Dictionaries Interlinked Electronically,NA,Johannes Fournier,paper,NA,NA,NA,NA,en,en,same
31,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Stephen Crane and the 'New-York Tribune': a Case Study in Traditional and Non-traditional Authorship Attribution,NA,David I. Holmes;Michael Robertson,paper,NA,NA,NA,NA,en,en,same
32,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Making MITH a Reality: The Maryland Institute for Technology in the Humanities, Year Two",NA,Martha Nell Smith;Charles Lowry;Lori Goetsch;Jo Paoletti;Lisa Antonille;Jason Rhody,panel / roundtable,NA,NA,NA,NA,en,en,same
33,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,EDINA: Edinburgh Data and Information Access,NA,Claudia Gröpl,poster / demo / art installation,NA,NA,NA,NA,NA,en,NA
34,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,A Prolog System for the Automatic Generation of Bilingual Dictionaries,NA,Jon Mills,poster / demo / art installation,NA,NA,NA,NA,en,en,same
35,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Humanities Computing and Campus Computer/Information literacy,NA,Bill Kretzschmar,poster / demo / art installation,NA,NA,NA,NA,en,en,same
36,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,John Venn and the Alumni Cantabrigienses - an example of applied natural language processing techniques in enhancing the utility of a historical database,NA,Emma Barker,poster / demo / art installation,NA,NA,NA,NA,en,en,same
37,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"The ""Biblioteca Italiana Telematica"" Project (http://cibit.unipi.it): a Progress Report",NA,Mirko Tavoni;Eugenio Picchi,paper,NA,NA,NA,NA,NA,en,NA
38,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Poetic Prosthetic,NA,Greg Lessard;Michael Levison,paper,NA,NA,NA,NA,sr,NA,NA
39,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,An American National Corpus: a Large Balanced Text Corpus for American English,NA,Catherine Macleod;Nancy Ide,paper,NA,NA,NA,NA,en,en,same
40,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Electric Theory (Truth, Use, and Method)",NA,Tamise J. Van Pelt,paper,7168,NA,NA,NA,en,en,same
41,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,French Neo-Structuralist Schools and Industrial Text Analysis,NA,William Glen Winder,paper,7168,NA,NA,NA,en,en,same
42,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"A Theory for Literature (Created for the World Wide Web, E-Mail, Chat Spaces, Databases, and Other Electronic Technologies)",NA,Dene M. Grigar,paper,7168,NA,NA,NA,en,en,same
43,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Computer-Mediated Discourse, Reception Theory, and Versioning",NA,Susan Schreibman,paper,7168,NA,NA,NA,en,en,same
44,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,The FALMER Project: Toward an Electronic Critical Edition,NA,Michel Bernard,paper,NA,NA,NA,NA,NA,en,NA
45,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,The Miguel Cervantes Digital Library: The Hispanic Voice on the WEB,NA,Andrés Pedreño,paper,NA,NA,NA,NA,en,en,same
46,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Textual Variation, Electronic Editions and Hypertext",NA,Edward Vanhoutte,paper,NA,NA,NA,NA,en,en,same
47,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Computing in the School of English and Scottish Language And Literature (SESLL) at the University of Glasgow,NA,Jean G. Anderson,poster / demo / art installation,NA,NA,NA,NA,en,en,same
48,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Experience and Expertise: The Humanities Advanced Technology and Information Institute, University of Glasgow",NA,Ann Gow,poster / demo / art installation,NA,NA,NA,NA,en,en,same
49,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,A Case Study of an Evaluation Questionnaire Concerning the Integration of a Hypermedia Project in University Courses,NA,Liliane Gallet-Blanchard;Marie-Madeleine Martinet,poster / demo / art installation,NA,NA,NA,NA,en,en,same
50,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Collaborative Campus: Rhetoric, Technology and Classroom Re-Composition",NA,Lissa Holloway-Attaway;Angela Mitchell;Laura Andrews;Christy Desmet;Greg VanHoosier-Carey;Patricia Worrall,poster / demo / art installation,NA,NA,NA,NA,en,en,same
51,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Machine Learning Support for Evaluation and Quality Control,NA,Hans van Halteren,paper,NA,NA,NA,NA,en,en,same
52,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"A Corpus-Based Methodology for Identifying Non-nominal ""It"": Rule-Based and Machine Learning Approaches",NA,Richard Evans,paper,NA,NA,NA,NA,en,en,same
53,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Binomials and the Computer: a Study in Corpus-Based Phraseology,NA,Ourania Hatzidaki,paper,NA,NA,NA,NA,en,en,same
54,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,ACAD - a Cambridge Alumni Database,NA,John Dawson,paper,NA,NA,NA,NA,es,en,different
55,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,New Models for Electronic Publishing,NA,Ronald Tetreault,paper,NA,NA,NA,NA,NA,en,NA
56,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Academic Collaboration On Line: The SOL as a Case Study,NA,William Hutton;Elizabeth Vandiver;Patrick Rourke;Ross Scaife;Raphael Finkel,paper,NA,NA,NA,NA,en,en,same
57,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Dating Dickinson: an Experimental Approach to Stylochronometry,NA,Constantina Stamou;Richard S. Forsyth,poster / demo / art installation,NA,NA,NA,NA,en,en,same
58,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,A Comparison of Methods for the Attribution of Authorship of Popular Fiction,NA,Fiona J. Tweedie;Lisa Lena Opas-Hänninen,poster / demo / art installation,NA,NA,NA,NA,en,en,same
59,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Computational Methods for the Study of Multilingual Corpora,NA,Silvia Hansen,poster / demo / art installation,NA,NA,NA,NA,en,en,same
60,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,A System for Dynamic Text Corpus Management (with an Example Corpus of the Russian Mass Media of the 1990s),NA,Girogri Sidorov;Anatoly Baranov;Mikhail Mikhailov,poster / demo / art installation,NA,NA,NA,NA,en,en,same
61,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"XSL - Characteristics, Status, and Potentials for Text Processing Applications in the Humanities",NA,Wendell Piez,paper,NA,NA,NA,NA,en,en,same
62,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Metainformation Strategies for Electronic Resources,NA,Susan Schreibman,paper,NA,NA,NA,NA,en,en,same
63,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"On Mock-scholarly, Faux-casual, and Cod Philosophy: Patterns of Diachronic Change in a British Newspaper",NA,R. Harald Baayen;Antoinette Renouf,paper,NA,NA,NA,NA,en,en,same
64,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Primroses and Power: a Study on Linguistic Excellence in Political Discourse,NA,Anna Loiacono;Angela Maria D'Uggento;Barbara Cafarelli;Rosaria Romita,paper,NA,NA,NA,NA,en,en,same
65,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,The Statistical Analysis of Style: How Language Means in Beckett,NA,C.W.F. McKenna,paper,NA,NA,NA,NA,en,en,same
66,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Border Crossing: Engineers, Papyrologists, and the Graphical Use Interface",NA,Melissa Terras,paper,NA,NA,NA,NA,en,en,same
67,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Trajan's Column: Building a WWW Image-Database,NA,Geoffrey Rockwell;Gretchen Umholtz;Michele George;Martin Beckmann;Paul Barrette,paper,NA,NA,NA,NA,NA,en,NA
68,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Digital Images for Online Distance Education in the Humanities,NA,Sue Tickner;Richard Hooker;Francis Halsall,paper,NA,NA,NA,NA,en,en,same
